Gene,object_SRR24886407,object_SRR24886411,object_SRR24886417,object_SRR24886420,object_SRR24886421,object_SRR24886422,Sum
GenBank:CDS:NODE-303417+-length-25225-cov-18.6888:14944:15327,2,1,3,3,2,8,19
Peptide deformylase (EC 3.5.1.88)-2,2,1,6,0,3,7,19
Peptidase%2C family M23 (EC 3.4.24.-),1,0,4,1,6,7,19
Patatin,2,0,8,1,2,6,19
Coupling protein VirD4%2C ATPase required for T-DNA transfer,1,1,2,5,5,5,19
Inner membrane protein of type IV secretion of T-DNA complex%2C TonB-like%2C VirB10,1,0,9,1,0,8,19
LSU ribosomal protein L23p (L23Ae),2,0,10,4,1,2,19
Ribonuclease D related protein,1,1,7,0,3,7,19
Chaperone protein DnaJ,2,0,7,4,3,3,19
Colicin V production protein,1,3,5,2,4,4,19
LSU ribosomal protein L10p (P0),1,0,3,4,7,4,19
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:17986:19077,1,6,2,4,1,5,19
GenBank:CDS:NODE-36364+-length-27992-cov-18.5566:13940:14296,0,2,5,2,4,6,19
Rod shape-determining protein MreC,0,3,4,1,1,10,19
GenBank:CDS:NODE-224278+-length-13815-cov-21.0001:6956:7243,0,2,0,0,5,12,19
GenBank:CDS:NODE-184440+-length-9539-cov-40.5733:8240:8473,0,1,3,3,4,8,19
Flagellar motor switch protein FliG,0,2,10,0,4,3,19
LSU ribosomal protein L15p (L27Ae),0,2,3,4,3,7,19
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191),0,1,3,4,3,8,19
GenBank:CDS:NODE-236874+-length-45919-cov-16.6307:703:1224,0,3,1,4,9,2,19
NADP-dependent malic enzyme (EC 1.1.1.40),0,1,7,2,2,7,19
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),0,0,5,3,3,8,19
L-Proline/Glycine betaine transporter ProP-10,0,0,7,2,3,7,19
Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11),1,1,5,2,4,5,18
Ferredoxin%2C 2Fe-2S,1,1,6,1,5,4,18
putative membrane protein,1,2,8,1,2,4,18
tRNA-Lys-TTT,2,1,2,6,4,3,18
GenBank:CDS:NODE-257474+-length-11490-cov-19.6056:9607:11418,2,2,3,1,5,5,18
LSU ribosomal protein L16p (L10e),1,1,4,7,3,2,18
Ribonucleotide reductase of class Ia (aerobic)%2C beta subunit (EC 1.17.4.1),2,0,3,5,3,5,18
DNA-binding protein HU-beta-2,1,1,8,2,2,4,18
Translation elongation factor Ts,1,1,9,0,5,2,18
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:21002:21568,0,2,3,4,6,3,18
Transcription termination factor Rho,1,0,7,0,1,8,17
DNA gyrase subunit A (EC 5.99.1.3),2,1,4,5,3,2,17
UPF0301 protein YqgE,1,2,1,5,5,3,17
GenBank:CDS:NODE-274146+-length-62332-cov-15.7622:49698:52418,2,0,3,2,4,6,17
LSU ribosomal protein L14p (L23e),3,2,3,1,2,6,17
Two-component sensor histidine kinase,1,1,2,2,4,7,17
LSU ribosomal protein L9p,2,1,7,0,4,3,17
UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9),1,1,4,3,2,6,17
Cytosol aminopeptidase PepA (EC 3.4.11.1),0,1,4,5,3,4,17
SSU ribosomal protein S10p (S20e),0,2,7,3,3,2,17
Flagellum-specific ATP synthase FliI,0,1,8,1,0,7,17
Probable two-component response regulator,0,1,4,5,0,7,17
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6),0,2,4,4,2,5,17
Glutamine synthetase type II%2C eukaryotic (EC 6.3.1.2),0,0,9,3,2,3,17
TolA protein,0,0,4,3,2,8,17
Transposase,0,0,0,5,7,5,17
LSU ribosomal protein L28p,2,0,5,3,5,1,16
GenBank:CDS:NODE-11582+-length-17202-cov-16.5658:1081:2256,1,2,10,0,0,3,16
Fructose-bisphosphate aldolase class I (EC 4.1.2.13),1,0,8,1,1,5,16
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:68522:68935,2,3,2,3,3,3,16
GenBank:CDS:NODE-274146+-length-62332-cov-15.7622:60246:61037,2,2,5,1,1,5,16
Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77),2,2,5,2,2,3,16
DNA polymerase III subunits gamma and tau (EC 2.7.7.7),2,5,2,1,1,5,16
Transcription antitermination protein NusG,2,2,5,1,2,4,16
Ribosome recycling factor,2,0,4,3,2,5,16
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:3311:3730,1,0,7,0,1,7,16
Glutamate decarboxylase (EC 4.1.1.15),2,2,5,1,3,3,16
tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA,0,1,4,2,3,6,16
GenBank:CDS:NODE-224277+-length-5923-cov-40.3374:3744:3977,0,2,2,1,6,5,16
LSU ribosomal protein L18p (L5e),0,5,2,3,5,1,16
multi-sensor hybrid histidine kinase,0,1,5,1,3,6,16
probable amino acid ABC transporter,0,2,4,2,1,7,16
Uridine monophosphate kinase (EC 2.7.4.22),0,1,5,3,5,2,16
sensor histidine kinase-1,0,0,1,4,9,2,16
Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2),1,0,4,1,5,4,15
DNA-binding protein HU ## epsilon-proteobacterial type,2,2,1,1,2,7,15
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108),1,1,4,2,3,4,15
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3),1,0,4,1,5,4,15
4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8),1,2,4,2,0,6,15
GenBank:CDS:NODE-209269+-length-7856-cov-17.5471:4777:5610,1,0,2,4,1,7,15
GenBank:CDS:NODE-120176+-length-30848-cov-19.0928:21299:23281,2,0,3,3,2,5,15
GenBank:CDS:NODE-134216+-length-6506-cov-39.8756:747:995,4,2,0,2,4,3,15
SSU ribosomal protein S3p (S3e),1,0,3,4,1,6,15
TPR domain protein,0,1,1,5,1,7,15
GenBank:CDS:NODE-175080+-length-11004-cov-19.7828:7926:8228,0,2,4,2,2,5,15
Cytidylate kinase (EC 2.7.4.25),0,1,0,5,3,6,15
CTP synthase (EC 6.3.4.2),0,0,6,1,0,8,15
SSU ribosomal protein S11p (S14e),0,0,6,1,2,6,15
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8),2,0,5,2,1,4,14
3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64),1,3,4,1,1,4,14
GenBank:CDS:NODE-274146+-length-62332-cov-15.7622:40942:41145,2,2,5,0,1,4,14
Multidrug resistance protein A,1,0,5,4,2,2,14
Metallo-beta-lactamase family protein%2C RNA-specific,1,0,3,1,5,4,14
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3),1,1,4,0,1,7,14
GenBank:CDS:NODE-36364+-length-27992-cov-18.5566:18494:20179,0,1,4,5,2,2,14
FIG149041: Thioredoxin,0,1,3,0,3,7,14
DNA polymerase III beta subunit (EC 2.7.7.7),0,1,5,2,6,0,14
Excinuclease ABC subunit B,0,2,4,2,3,3,14
Flagellar biosynthesis protein FliL,0,2,5,3,1,3,14
GenBank:CDS:NODE-124579+-length-2895-cov-34.1577:1544:1888,0,1,0,4,6,3,14
GenBank:CDS:NODE-120176+-length-30848-cov-19.0928:23381:24418,0,1,3,1,3,6,14
Chromosome (plasmid) partitioning protein ParA-4,0,3,5,1,1,4,14
Flagellar P-ring protein FlgI,0,1,3,3,3,4,14
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),0,0,4,3,1,6,14
GenBank:CDS:NODE-185504+-length-28119-cov-16.5101:26824:27813,2,0,6,0,1,4,13
LSU ribosomal protein L25p,3,1,6,0,1,2,13
Inorganic pyrophosphatase (EC 3.6.1.1),1,0,5,2,3,2,13
Valyl-tRNA synthetase (EC 6.1.1.9),2,0,7,0,2,2,13
Inner membrane protein forms channel for type IV secretion of T-DNA complex%2C VirB8,1,0,4,1,3,4,13
Membrane-fusion protein,1,2,3,0,4,3,13
DNA mismatch repair protein MutL,1,0,5,0,2,5,13
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:26936:28063,1,1,1,1,1,8,13
Outer membrane lipoprotein OmlA,0,1,3,5,2,2,13
filamentation induced by cAMP protein Fic,0,1,3,4,3,2,13
FIG00494044: hypothetical protein,0,1,3,3,1,5,13
UDP-N-acetylmuramoylalanyl-D-glutamyl-2%2C6- diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10),0,2,3,1,5,2,13
Major facilitator superfamily precursor,0,2,1,0,5,5,13
Short chain dehydrogenase,0,1,5,1,3,3,13
ATP synthase gamma chain (EC 3.6.3.14),0,2,4,3,3,1,13
Heat shock protein 60 family co-chaperone GroES,0,5,1,0,1,6,13
Protease II (EC 3.4.21.83)-2,0,1,4,1,2,5,13
TRAP transporter solute receptor%2C TAXI family precursor,0,0,3,3,2,5,13
GenBank:CDS:NODE-224278+-length-13815-cov-21.0001:2972:3316,0,0,10,2,0,1,13
Outer membrane protein assembly factor YaeT precursor,0,0,2,3,2,6,13
HflC protein,0,0,1,3,7,2,13
Quinone oxidoreductase (EC 1.6.5.5)-2,0,0,6,1,4,2,13
Putative DNA-binding protein in cluster with Type I restriction-modification system,0,0,10,1,1,1,13
Triosephosphate isomerase (EC 5.3.1.1),1,0,3,1,1,6,12
Iron-sulfur cluster assembly ATPase protein SufC,2,0,6,2,1,1,12
Alanyl-tRNA synthetase (EC 6.1.1.7),1,1,2,2,3,3,12
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:106272:108755,1,1,4,1,1,4,12
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:57007:57210,1,1,2,2,3,3,12
Aspartate aminotransferase (EC 2.6.1.1)-1,1,3,4,1,1,2,12
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:35128:35613,1,2,6,0,2,1,12
Carbon storage regulator,1,0,3,3,4,1,12
HIT family protein,0,1,7,0,3,1,12
Membrane-associated zinc metalloprotease,0,2,3,4,2,1,12
Flagellar biosynthesis protein FlhA,0,1,1,2,2,6,12
