Gene,object_SRR24886407,object_SRR24886411,object_SRR24886417,object_SRR24886420,object_SRR24886421,object_SRR24886422,Sum
sensor histidine kinase-2,0,0,3,1,0,0,4
Flagellar biosynthesis protein FliQ,0,0,2,0,0,2,4
Ribulose-phosphate 3-epimerase (EC 5.1.3.1),0,0,2,1,0,1,4
Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1),0,0,1,0,0,3,4
putative sodium/pantothenate symporter (pantothenate permease),0,0,1,1,1,1,4
ATPase,0,0,1,0,2,1,4
GenBank:CDS:NODE-120176+-length-30848-cov-19.0928:17580:18554,0,0,1,1,0,2,4
TsaE protein%2C required for threonylcarbamoyladenosine t(6)A37 formation in tRNA,0,0,1,0,2,1,4
Putative deoxyribonuclease YcfH,0,0,1,1,0,2,4
Nucleoside permease NupC,0,0,3,0,0,1,4
tRNA-i(6)A37 methylthiotransferase,0,0,1,1,1,1,4
Lead%2C cadmium%2C zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)%3B Copper-translocating P-type ATPase (EC 3.6.3.4),0,0,1,1,0,2,4
DoxD family protein%2C putative,0,0,1,0,0,3,4
tRNA-Tyr-GTA,0,0,2,0,2,0,4
GTP-binding and nucleic acid-binding protein YchF,0,0,3,0,0,1,4
GenBank:CDS:NODE-12498+-length-23113-cov-19.4965:21983:23041,0,0,4,0,0,0,4
Mlr8242 protein,0,0,1,0,1,2,4
FIG000325: clustered with transcription termination protein NusA,0,0,1,0,2,1,4
Rod shape-determining protein RodA,0,0,2,1,0,1,4
tRNA-Arg-CCG,0,0,4,0,0,0,4
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),0,0,1,0,3,0,4
Tyrosyl-tRNA synthetase (EC 6.1.1.1),0,0,1,1,0,2,4
GenBank:CDS:NODE-274145+-length-19715-cov-16.5394:3746:4282,0,0,2,0,1,1,4
Tyrosine recombinase XerD,0,0,1,1,0,2,4
Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1),0,0,1,0,2,1,4
Holliday junction DNA helicase RuvB,0,0,2,1,0,1,4
sensory transduction protein kinase,0,0,1,2,1,0,4
GenBank:CDS:NODE-137876+-length-5070-cov-15.8497:126:1466,0,0,0,2,1,1,4
Sensory box/GGDEF family protein,0,0,0,1,1,2,4
tRNA-Thr-TGT,0,0,0,2,2,0,4
Chromosome (plasmid) partitioning protein ParB / Stage 0 sporulation protein J,0,0,0,1,0,3,4
IncF plasmid conjugative transfer pilus assembly protein TraW-1,0,0,0,1,1,2,4
tRNA-Leu-GAG,0,0,0,0,1,3,4
amino acid ABC transporter%2C permease protein,0,0,0,0,2,2,4
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:8265:9047,0,0,0,0,0,4,4
membrane protein,0,0,0,0,0,4,4
Uroporphyrinogen-III synthase (EC 4.2.1.75),1,0,0,2,0,0,3
Inner membrane protein forms channel for type IV secretion of T-DNA complex%2C VirB3,1,1,0,0,0,1,3
Flagellar motor switch protein FliN,1,0,0,1,1,0,3
Methionine ABC transporter ATP-binding protein-2,1,0,1,1,0,0,3
Ribonucleotide reductase transcriptional regulator NrdR,1,0,1,1,0,0,3
AmpG permease-2,1,0,0,1,1,0,3
GenBank:CDS:NODE-224277+-length-5923-cov-40.3374:2630:2884,1,0,1,0,1,0,3
two-component response regulator,1,1,1,0,0,0,3
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:32823:33260,1,1,0,0,0,1,3
Exported zinc metalloprotease YfgC precursor,1,0,0,1,1,0,3
GenBank:CDS:NODE-11581+-length-45870-cov-18.1412:32587:33216,1,0,1,0,1,0,3
Large exoproteins involved in heme utilization or adhesion,0,1,0,0,1,1,3
SAM-dependent methyltransferase%2C BioC-like,0,1,2,0,0,0,3
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:88349:89317,0,1,0,0,0,2,3
GenBank:CDS:NODE-274146+-length-62332-cov-15.7622:17258:17521,0,1,1,0,1,0,3
Guanylate kinase (EC 2.7.4.8),0,1,1,0,0,1,3
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:35487:35654,0,1,0,1,0,1,3
Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9),0,1,0,1,1,0,3
GenBank:CDS:NODE-134216+-length-6506-cov-39.8756:333:728,0,1,0,0,1,1,3
tRNA-Val-GAC,0,1,1,1,0,0,3
GenBank:CDS:NODE-274145+-length-19715-cov-16.5394:16633:17094,0,1,1,0,1,0,3
Biotin operon repressor / Biotin-protein ligase (EC 6.3.4.15),0,1,0,1,1,0,3
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:70082:70285,0,1,0,0,2,0,3
GenBank:CDS:NODE-262015+-length-9397-cov-17.2548:108:488,0,1,1,1,0,0,3
GTP-binding protein Era,0,0,2,0,0,1,3
Cysteine desulfurase (EC 2.8.1.7),0,0,1,0,1,1,3
tRNA-guanine transglycosylase (EC 2.4.2.29),0,0,2,0,0,1,3
GenBank:CDS:NODE-185504+-length-28119-cov-16.5101:5649:6497,0,0,1,0,1,1,3
Nitrogen regulation protein ntrY (EC 2.7.3.-),0,0,2,0,0,1,3
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157),0,0,1,1,0,1,3
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)-1,0,0,1,0,0,2,3
GenBank:CDS:NODE-44067+-length-13992-cov-15.5263:12527:12895,0,0,2,0,1,0,3
Cell division protein FtsQ,0,0,2,1,0,0,3
S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-),0,0,1,1,1,0,3
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:41619:41819,0,0,1,1,1,0,3
IncF plasmid conjugative transfer protein TraD,0,0,2,0,0,1,3
Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),0,0,2,1,0,0,3
Glutamine synthetase type I (EC 6.3.1.2),0,0,1,0,1,1,3
ATP-dependent protease HslV (EC 3.4.25.-),0,0,1,0,2,0,3
GenBank:CDS:NODE-137876+-length-5070-cov-15.8497:4669:4953,0,0,3,0,0,0,3
IncF plasmid conjugative transfer protein TraG-2,0,0,1,1,1,0,3
Type IV secretion system protein VirD4,0,0,1,1,0,1,3
UDP-N-acetylmuramoylalanyl-D-glutamate--2%2C6- diaminopimelate ligase (EC 6.3.2.13),0,0,1,0,1,1,3
Flagellar biosynthesis protein FliP-1,0,0,1,0,0,2,3
GenBank:CDS:NODE-274146+-length-62332-cov-15.7622:25359:25748,0,0,2,0,1,0,3
Cysteinyl-tRNA synthetase (EC 6.1.1.16),0,0,2,0,0,1,3
GTP cyclohydrolase I (EC 3.5.4.16) type 1,0,0,1,0,0,2,3
AdoMet-AdoHcy transporter 2,0,0,1,1,0,1,3
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-),0,0,3,0,0,0,3
Aspartate aminotransferase (EC 2.6.1.1)-2,0,0,1,0,0,2,3
Transporter%2C LysE family,0,0,1,2,0,0,3
Twin-arginine translocation protein TatC,0,0,1,0,0,2,3
GenBank:CDS:NODE-56431+-length-17225-cov-14.94:2182:2727,0,0,2,0,1,0,3
FIG00801269: hypothetical protein-1,0,0,1,0,0,2,3
Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1),0,0,2,1,0,0,3
Peptide chain release factor 2%3B programmed frameshift-containing,0,0,3,0,0,0,3
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4),0,0,1,0,0,2,3
GenBank:CDS:NODE-123725+-length-3636-cov-29.017:3254:3613,0,0,2,0,1,0,3
Mobile element protein-4,0,0,1,1,0,1,3
tRNA-Thr-CGT,0,0,3,0,0,0,3
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:12449:13735,0,0,2,0,0,1,3
Uridine kinase (EC 2.7.1.48) [C1],0,0,1,0,1,1,3
tmRNA-binding protein SmpB,0,0,1,0,0,2,3
tRNA:Cm32/Um32 methyltransferase,0,0,2,0,1,0,3
Putative Holliday junction resolvase YggF,0,0,2,0,0,1,3
GenBank:CDS:NODE-274145+-length-19715-cov-16.5394:70:573,0,0,1,1,1,0,3
L-Proline/Glycine betaine transporter ProP-13,0,0,1,0,2,0,3
tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25),0,0,1,0,2,0,3
Peptidyl-tRNA hydrolase (EC 3.1.1.29),0,0,3,0,0,0,3
Outer membrane protein Imp%2C required for envelope biogenesis / Organic solvent tolerance protein precursor,0,0,0,2,0,1,3
Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9),0,0,0,1,0,2,3
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:49061:49465,0,0,0,1,1,1,3
Methionyl-tRNA formyltransferase (EC 2.1.2.9),0,0,0,1,1,1,3
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:5919:6290,0,0,0,1,0,2,3
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:37335:38126,0,0,0,1,1,1,3
DNA polymerase III delta subunit (EC 2.7.7.7),0,0,0,2,0,1,3
Lipid A export ATP-binding/permease protein MsbA-2,0,0,0,1,2,0,3
NADH-ubiquinone oxidoreductase 39 KD subunit (EC 1.6.5.3),0,0,0,1,1,1,3
ABC transporter%2C ATP-binding protein-1,0,0,0,1,1,1,3
tRNA-Gln-TTG,0,0,0,2,1,0,3
DNA internalization-related competence protein ComEC/Rec2,0,0,0,1,2,0,3
GenBank:CDS:NODE-236874+-length-45919-cov-16.6307:31174:31419,0,0,0,1,1,1,3
Quaternary ammonium compound-resistance protein SugE,0,0,0,0,1,2,3
Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-),0,0,0,0,2,1,3
GenBank:CDS:NODE-11582+-length-17202-cov-16.5658:10098:10367,0,0,0,0,1,2,3
Lipid IVA 3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12) [often with (EC 2.4.99.13) also],0,0,0,0,1,2,3
tRNA-Trp-CCA,0,0,0,0,2,1,3
Periplasmic thiol:disulfide interchange protein DsbA,0,0,0,0,3,0,3
Drug resistance transporter,0,0,0,0,2,1,3
Uncharacterized isomerase yddE%2C PhzC-PhzF family,0,0,0,0,2,1,3
Proline/sodium symporter PutP (TC 2.A.21.2.1) @ Propionate/sodium symporter,0,0,0,0,1,2,3
inversin protein alternative isoform%2C putative,0,0,0,0,1,2,3
Chromosome (plasmid) partitioning protein ParB-2,0,0,0,0,2,1,3
FIG041266: ATP-dependent nuclease subunit B,0,0,0,0,1,2,3
Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22),0,0,0,0,2,1,3
Biotin synthase (EC 2.8.1.6),0,0,0,0,0,3,3
GenBank:CDS:NODE-56431+-length-17225-cov-14.94:12292:13647,0,0,0,0,0,3,3
GenBank:CDS:NODE-306799+-length-11862-cov-35.5935:4108:4944,0,0,0,0,0,3,3
Phospholipase/carboxylesterase family protein (EC 3.1.-.-),0,0,0,0,0,3,3
Sulfatase family protein,1,0,1,0,0,0,2
Ribonuclease HII (EC 3.1.26.4),1,0,1,0,0,0,2
Lipid-A-disaccharide synthase (EC 2.4.1.182),1,0,0,0,0,1,2
GenBank:CDS:NODE-134216+-length-6506-cov-39.8756:5269:6360,1,0,0,0,0,1,2
tRNA-Asn-GTT,1,0,0,0,0,1,2
LSU ribosomal protein L34p,1,0,1,0,0,0,2
Predicted endonuclease distantly related to archaeal Holliday junction resolvase,1,0,0,0,1,0,2
GenBank:CDS:NODE-224278+-length-13815-cov-21.0001:3349:3555,0,1,0,1,0,0,2
Succinoglycan biosynthesis protein,0,2,0,0,0,0,2
IncF plasmid conjugative transfer surface exclusion protein TraT,0,1,0,0,0,1,2
GenBank:CDS:NODE-134651+-length-1971-cov-32.1143:1600:1920,0,2,0,0,0,0,2
GenBank:CDS:NODE-137876+-length-5070-cov-15.8497:1647:2483,0,1,0,0,0,1,2
NADH-ubiquinone oxidoreductase-related protein,0,1,0,0,0,1,2
4Fe-4S ferredoxin%2C iron-sulfur binding,0,2,0,0,0,0,2
VapC toxin protein,0,2,0,0,0,0,2
Recombination protein RecR,0,1,0,1,0,0,2
drug resistance transporter%2C Bcr/CflA family protein,0,1,1,0,0,0,2
Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2),0,1,0,0,1,0,2
GenBank:CDS:NODE-44068+-length-28286-cov-17.8349:7496:8101,0,0,2,0,0,0,2
GenBank:CDS:NODE-44068+-length-28286-cov-17.8349:21193:22131,0,0,2,0,0,0,2
Type cbb3 cytochrome oxidase biogenesis protein CcoG%2C involved in Cu oxidation,0,0,1,0,0,1,2
GenBank:CDS:NODE-185504+-length-28119-cov-16.5101:19688:19852,0,0,1,0,1,0,2
Queuosine Biosynthesis QueE Radical SAM,0,0,1,0,0,1,2
Quinone oxidoreductase (EC 1.6.5.5)-1,0,0,1,0,0,1,2
Inner membrane protein YihY%2C formerly thought to be RNase BN,0,0,1,0,0,1,2
GenBank:CDS:NODE-314913+-length-54470-cov-18.5139:37133:37369,0,0,1,1,0,0,2
DNA recombination protein RmuC,0,0,1,0,1,0,2
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),0,0,1,0,1,0,2
Inner membrane protein of type IV secretion of T-DNA complex%2C VirB6-2,0,0,2,0,0,0,2
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:41100:41303,0,0,1,0,0,1,2
putative conjugative transfer protein TraH,0,0,2,0,0,0,2
Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23),0,0,2,0,0,0,2
L-Proline/Glycine betaine transporter ProP-5,0,0,1,0,0,1,2
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:94915:95181,0,0,2,0,0,0,2
ATP-dependent DNA helicase RecG (EC 3.6.1.-),0,0,1,0,1,0,2
Translation elongation factor P,0,0,1,1,0,0,2
Glutathione synthetase (EC 6.3.2.3),0,0,1,0,0,1,2
Cell division protein FtsJ / Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) ## LSU rRNA Um2552,0,0,1,1,0,0,2
MotA/TolQ/ExbB proton channel family protein,0,0,2,0,0,0,2
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:33945:34475,0,0,2,0,0,0,2
L-Proline/Glycine betaine transporter ProP-7,0,0,1,0,0,1,2
GenBank:CDS:NODE-56431+-length-17225-cov-14.94:11378:11854,0,0,1,0,0,1,2
2-pyrone-4%2C6-dicarboxylic acid hydrolase%2C putative,0,0,1,0,0,1,2
GenBank:CDS:NODE-209269+-length-7856-cov-17.5471:3197:3367,0,0,1,0,0,1,2
Beta-lactamase class D,0,0,1,0,0,1,2
GenBank:CDS:NODE-120176+-length-30848-cov-19.0928:26715:27386,0,0,1,0,1,0,2
GenBank:CDS:NODE-224277+-length-5923-cov-40.3374:2877:3122,0,0,2,0,0,0,2
Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96),0,0,1,0,0,1,2
TsaD/Kae1/Qri7 protein%2C required for threonylcarbamoyladenosine t(6)A37 formation in tRNA,0,0,1,1,0,0,2
3%2C4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25),0,0,2,0,0,0,2
Exodeoxyribonuclease III (EC 3.1.11.2)-2,0,0,1,1,0,0,2
Lipopolysaccharide ABC transporter%2C ATP-binding protein LptB,0,0,1,0,0,1,2
tRNA-Phe-GAA,0,0,1,0,0,1,2
Phosphopantetheine adenylyltransferase (EC 2.7.7.3),0,0,1,0,0,1,2
Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70),0,0,1,1,0,0,2
Holliday junction DNA helicase RuvA,0,0,1,0,0,1,2
Flagellar biosynthesis protein FlhB,0,0,2,0,0,0,2
GenBank:CDS:NODE-70932+-length-7981-cov-43.6109:440:1219,0,0,1,0,0,1,2
GenBank:CDS:NODE-274145+-length-19715-cov-16.5394:17931:18578,0,0,1,1,0,0,2
Patatin-like protein-2,0,0,2,0,0,0,2
2-oxoglutarate/malate translocator,0,0,1,0,1,0,2
Dephospho-CoA kinase (EC 2.7.1.24),0,0,1,0,1,0,2
Signal peptidase I (EC 3.4.21.89),0,0,0,1,0,1,2
Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake,0,0,0,1,0,1,2
Outer membrane lipoprotein-sorting protein,0,0,0,1,0,1,2
Nicotinamide-nucleotide adenylyltransferase%2C NadM family (EC 2.7.7.1) / ADP-ribose pyrophosphatase (EC 3.6.1.13),0,0,0,1,0,1,2
Putative signal peptide protein,0,0,0,1,0,1,2
Tryptophanyl-tRNA synthetase (EC 6.1.1.2),0,0,0,1,1,0,2
Radical SAM family enzyme%2C similar to coproporphyrinogen III oxidase%2C oxygen-independent%2C clustered with nucleoside-triphosphatase RdgB,0,0,0,1,0,1,2
Protein-export membrane protein SecF (TC 3.A.5.1.1),0,0,0,2,0,0,2
GenBank:CDS:NODE-160236+-length-29045-cov-18.8637:19970:20332,0,0,0,2,0,0,2
tRNA-Val-TAC,0,0,0,2,0,0,2
tRNA-Ser-GCT,0,0,0,2,0,0,2
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:44490:44813,0,0,0,2,0,0,2
Folate-dependent protein for Fe/S cluster synthesis/repair in oxidative stress,0,0,0,2,0,0,2
Membrane protein%2C putative,0,0,0,1,0,1,2
Glutamate--cysteine ligase (EC 6.3.2.2)%2C divergent%2C of Alpha- and Beta-proteobacteria type,0,0,0,1,0,1,2
phytol kinase,0,0,0,1,1,0,2
ABC transporter%2C periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1),0,0,0,2,0,0,2
TsaB protein%2C required for threonylcarbamoyladenosine (t(6)A) formation in tRNA,0,0,0,0,1,1,2
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) AmpD,0,0,0,0,1,1,2
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:44008:44418,0,0,0,0,1,1,2
tRNA(Ile)-lysidine synthetase (EC 6.3.4.19),0,0,0,0,1,1,2
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:48641:48772,0,0,0,0,1,1,2
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:64409:64855,0,0,0,0,1,1,2
Decaprenyl diphosphate synthase (EC 2.5.1.91),0,0,0,0,1,1,2
Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94),0,0,0,0,1,1,2
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:17533:18087,0,0,0,0,1,1,2
Cytochrome c oxidase subunit CcoO (EC 1.9.3.1),0,0,0,0,1,1,2
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:25415:25894,0,0,0,0,1,1,2
3-hydroxyacyl-[acyl-carrier-protein] dehydratase%2C FabZ form (EC 4.2.1.59),0,0,0,0,1,1,2
GenBank:CDS:NODE-86944+-length-11310-cov-19.5743:10552:10713,0,0,0,0,1,1,2
FIG01016371: hypothetical protein,0,0,0,0,1,1,2
Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-),0,0,0,0,2,0,2
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:20605:22593,0,0,0,0,1,1,2
IncF plasmid conjugative transfer pilus assembly protein TraU-1,0,0,0,0,1,1,2
GenBank:CDS:NODE-274145+-length-19715-cov-16.5394:2023:2313,0,0,0,0,1,1,2
Transcription-repair coupling factor,0,0,0,0,1,1,2
AmpG permease-1,0,0,0,0,0,2,2
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:5525:6289,0,0,0,0,0,2,2
GenBank:CDS:NODE-274146+-length-62332-cov-15.7622:61415:62143,0,0,0,0,0,2,2
GTPase and tRNA-U34 5-formylation enzyme TrmE,0,0,0,0,0,2,2
tRNA-Gly-TCC,0,0,0,0,0,2,2
Octanoate-[acyl-carrier-protein]-protein-N-octan oyltransferase,0,0,0,0,0,2,2
Phosphoglucosamine mutase (EC 5.4.2.10),0,0,0,0,0,2,2
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55),0,0,0,0,0,2,2
IncF plasmid conjugative transfer protein TraN-2,0,0,0,0,0,2,2
Ubiquinol--cytochrome c reductase%2C cytochrome B subunit (EC 1.10.2.2),0,0,0,0,0,2,2
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:68846:69247,0,0,0,0,0,2,2
Queuosine Biosynthesis QueC ATPase,0,0,0,0,0,2,2
Nicotinamide phosphoribosyltransferase (EC 2.4.2.12),1,0,0,0,0,0,1
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:105058:105873,1,0,0,0,0,0,1
GenBank:CDS:NODE-12488+-length-6522-cov-48.9989:75:635,1,0,0,0,0,0,1
membrane protein%2C putative,1,0,0,0,0,0,1
GenBank:CDS:NODE-185504+-length-28119-cov-16.5101:1318:1848,0,1,0,0,0,0,1
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:3525:4085,0,1,0,0,0,0,1
Nucleoside 5-triphosphatase RdgB (dHAPTP%2C dITP%2C XTP-specific) (EC 3.6.1.15),0,1,0,0,0,0,1
Glutamine transport ATP-binding protein GlnQ (TC 3.A.1.3.2),0,1,0,0,0,0,1
GTP cyclohydrolase II (EC 3.5.4.25),0,0,1,0,0,0,1
GenBank:CDS:NODE-219966+-length-19471-cov-16.8862:17457:17930,0,0,1,0,0,0,1
FIG004453: protein YceG like,0,0,1,0,0,0,1
Uncharacterized protein conserved in bacteria%2C NMA0228-like,0,0,1,0,0,0,1
Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-),0,0,1,0,0,0,1
GenBank:CDS:NODE-224278+-length-13815-cov-21.0001:6418:6978,0,0,1,0,0,0,1
CrcB protein,0,0,1,0,0,0,1
YgfY COG2938,0,0,1,0,0,0,1
putative secreted sugar hydrolase,0,0,1,0,0,0,1
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),0,0,1,0,0,0,1
IncF plasmid conjugative transfer pilus assembly protein TraH,0,0,1,0,0,0,1
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:9878:10783,0,0,1,0,0,0,1
tryptophan repressor binding protein,0,0,1,0,0,0,1
Queuosine biosynthesis QueD%2C PTPS-I,0,0,1,0,0,0,1
Phospho-N-acetylmuramoyl-pentapeptide- transferase (EC 2.7.8.13),0,0,1,0,0,0,1
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)-2,0,0,1,0,0,0,1
ABC transporter involved in cytochrome c biogenesis%2C ATPase component CcmA,0,0,1,0,0,0,1
Amino acid permease-associated region,0,0,1,0,0,0,1
Signal recognition particle receptor protein FtsY (%3Dalpha subunit) (TC 3.A.5.1.1),0,0,1,0,0,0,1
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:81707:81931,0,0,1,0,0,0,1
17 kDa surface antigen precursor,0,0,1,0,0,0,1
GenBank:CDS:NODE-120176+-length-30848-cov-19.0928:16391:17110,0,0,1,0,0,0,1
GenBank:CDS:NODE-224277+-length-5923-cov-40.3374:103:552,0,0,1,0,0,0,1
GenBank:CDS:NODE-126568+-length-5436-cov-15.3356:606:1346,0,0,1,0,0,0,1
Cell division protein FtsK,0,0,1,0,0,0,1
Bll0523 protein,0,0,1,0,0,0,1
Ubiquinone biosynthesis monooxygenase UbiB,0,0,1,0,0,0,1
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:48521:48970,0,0,1,0,0,0,1
Gene Transfer Agent prohead protease,0,0,1,0,0,0,1
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:39772:39960,0,0,1,0,0,0,1
Flagellar biosynthesis protein FliR,0,0,1,0,0,0,1
COG1565: Uncharacterized conserved protein,0,0,1,0,0,0,1
IncF plasmid conjugative transfer protein TraN-1,0,0,1,0,0,0,1
PqqC-like protein,0,0,1,0,0,0,1
GenBank:CDS:NODE-274145+-length-19715-cov-16.5394:15480:16568,0,0,1,0,0,0,1
Hypothetical protein YggS%2C proline synthase co-transcribed bacterial homolog PROSC,0,0,1,0,0,0,1
Pyridoxine biosynthesis glutamine amidotransferase%2C glutaminase subunit (EC 2.4.2.-),0,0,1,0,0,0,1
Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),0,0,1,0,0,0,1
GenBank:CDS:NODE-36364+-length-27992-cov-18.5566:14409:14978,0,0,0,1,0,0,1
Zinc metalloprotease (EC 3.4.24.-),0,0,0,1,0,0,1
GenBank:CDS:NODE-314913+-length-54470-cov-18.5139:50128:50427,0,0,0,1,0,0,1
GenBank:CDS:NODE-224278+-length-13815-cov-21.0001:4141:4524,0,0,0,1,0,0,1
Dihydroorotate dehydrogenase (EC 1.3.3.1),0,0,0,1,0,0,1
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:31236:31469,0,0,0,1,0,0,1
Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,0,0,0,1,0,0,1
Proton/glutamate symport protein @ Sodium/glutamate symport protein-1,0,0,0,1,0,0,1
Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70),0,0,0,1,0,0,1
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:11457:11591,0,0,0,1,0,0,1
Excinuclease ABC subunit C,0,0,0,1,0,0,1
GenBank:CDS:NODE-198983+-length-909-cov-27.2469:213:722,0,0,0,1,0,0,1
Mlr9349 protein,0,0,0,1,0,0,1
ubiquinol cytochrome C oxidoreductase%2C cytochrome C1 subunit,0,0,0,1,0,0,1
Proposed peptidoglycan lipid II flippase MurJ,0,0,0,1,0,0,1
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY,0,0,0,1,0,0,1
Adenylate/guanylate cyclase (EC 4.6.1.2),0,0,0,1,0,0,1
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:38340:38798,0,0,0,1,0,0,1
IncF plasmid conjugative transfer protein TrbC,0,0,0,1,0,0,1
IncF plasmid conjugative transfer pilus assembly protein TraU-2,0,0,0,1,0,0,1
Smr domain family protein,0,0,0,0,1,0,1
Cytochrome c heme lyase subunit CcmF,0,0,0,0,1,0,1
Gene Transfer Agent host specificity protein,0,0,0,0,1,0,1
16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171) ## SSU rRNA m(2)G966,0,0,0,0,1,0,1
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:38196:38582,0,0,0,0,1,0,1
GenBank:CDS:NODE-224278+-length-13815-cov-21.0001:3981:4148,0,0,0,0,1,0,1
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:26357:26629,0,0,0,0,1,0,1
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:31507:31674,0,0,0,0,1,0,1
tRNA-Thr-GGT,0,0,0,0,1,0,1
D-alanine--D-alanine ligase (EC 6.3.2.4),0,0,0,0,1,0,1
putative integral membrane protein (dedA homolog),0,0,0,0,1,0,1
Membrane transport protein,0,0,0,0,1,0,1
GenBank:CDS:NODE-209270+-length-97564-cov-18.0619:47721:47876,0,0,0,0,1,0,1
Glutaredoxin-related protein,0,0,0,0,1,0,1
ATPases involved in chromosome partitioning,0,0,0,0,1,0,1
tRNA-Pro-TGG,0,0,0,0,1,0,1
Cytochrome c oxidase subunit CcoP (EC 1.9.3.1),0,0,0,0,1,0,1
Iojap protein,0,0,0,0,1,0,1
DNA recombination and repair protein RecO,0,0,0,0,1,0,1
Proton/glutamate symport protein @ Sodium/glutamate symport protein-2,0,0,0,0,1,0,1
Chromosome (plasmid) partitioning protein ParA-3,0,0,0,0,1,0,1
